Chance,Briscola Chance,Wins,Losses,Ties
0.95,0.95,33,64,3
0.9,0.95,48,50,2
0.85,0.95,42,55,3
0.8,0.95,41,57,2
0.75,0.95,43,54,3
0.7,0.95,47,53,0
0.65,0.95,42,57,1
0.6,0.95,42,53,5
0.55,0.95,42,55,3
0.5,0.95,35,64,1
0.45,0.95,36,61,3
0.4,0.95,49,47,4
0.35,0.95,30,67,3
0.3,0.95,43,54,3
0.25,0.95,40,60,0
0.2,0.95,42,55,3
0.15,0.95,38,59,3
0.1,0.95,47,50,3
0.05,0.95,50,48,2
0.95,0.9,44,53,3
0.9,0.9,41,55,4
0.85,0.9,37,60,3
0.8,0.9,37,60,3
0.75,0.9,40,58,2
0.7,0.9,48,51,1
0.65,0.9,42,56,2
0.6,0.9,38,61,1
0.55,0.9,41,57,2
0.5,0.9,44,52,4
0.45,0.9,37,62,1
0.4,0.9,46,53,1
0.35,0.9,47,52,1
0.3,0.9,46,52,2
0.25,0.9,46,51,3
0.2,0.9,49,51,0
0.15,0.9,43,54,3
0.1,0.9,46,50,4
0.05,0.9,35,61,4
0.95,0.85,42,57,1
0.9,0.85,55,43,2
0.85,0.85,47,51,2
0.8,0.85,35,62,3
0.75,0.85,42,56,2
0.7,0.85,42,56,2
0.65,0.85,38,60,2
0.6,0.85,43,56,1
0.55,0.85,47,51,2
0.5,0.85,47,50,3
0.45,0.85,46,51,3
0.4,0.85,44,54,2
0.35,0.85,40,60,0
0.3,0.85,40,56,4
0.25,0.85,45,52,3
0.2,0.85,42,55,3
0.15,0.85,46,52,2
0.1,0.85,45,52,3
0.05,0.85,35,65,0
0.95,0.8,49,49,2
0.9,0.8,46,54,0
0.85,0.8,40,58,2
0.8,0.8,44,54,2
0.75,0.8,43,55,2
0.7,0.8,41,55,4
0.65,0.8,50,47,3
0.6,0.8,42,56,2
0.55,0.8,51,47,2
0.5,0.8,45,53,2
0.45,0.8,43,54,3
0.4,0.8,41,57,2
0.35,0.8,45,50,5
0.3,0.8,42,56,2
0.25,0.8,48,50,2
0.2,0.8,42,56,2
0.15,0.8,39,57,4
0.1,0.8,40,54,6
0.05,0.8,39,58,3
0.95,0.75,57,39,4
0.9,0.75,45,53,2
0.85,0.75,53,46,1
0.8,0.75,45,54,1
0.75,0.75,41,58,1
